CNES,COMPETEN,CODUFMUN,COD_CEP,NATUREZA,VINC_SUS,TP_UNID,SERAP02P,SERAP02T,year
2738643,201101,410070,87580000,Privada,1,39,0,0,2011
2572206,201101,410530,85840000,Privada,1,39,0,0,2011
2732017,201101,411610,87370000,Privada,0,39,0,0,2011
2740605,201101,412710,84261000,Privada,0,22,1,0,2011
2568640,201101,410010,86460000,Privada,1,39,0,0,2011
3327302,201101,410010,86460000,Publica,1,36,1,0,2011
0013234,201101,410040,83501000,Privada,1,39,0,0,2011
0013242,201101,410040,83501050,Privada,1,39,0,0,2011
0013250,201101,410040,83512000,Privada,1,39,0,0,2011
0013269,201101,410040,83501630,Privada,1,39,0,0,2011
0013285,201101,410040,83506000,Publica,1,02,1,0,2011
2681943,201101,410040,83501000,Outra,1,39,0,0,2011
3493156,201101,410040,83501070,Privada,1,39,0,0,2011
3746798,201101,410040,83501000,Privada,1,39,0,0,2011
4051033,201101,410040,83501010,Publica,1,68,1,0,2011
6002919,201101,410040,83512000,Publica,1,70,1,0,2011
2736640,201101,410050,87550000,Privada,1,39,0,0,2011
2738694,201101,410050,87550000,Privada,1,39,0,0,2011
2754037,201101,410060,87750000,Privada,0,39,0,0,2011
3697053,201101,410060,87750000,Privada,1,39,0,0,2011
3763102,201101,410060,87750000,Publica,1,36,1,0,2011
5551374,201101,410060,87750000,Privada,1,39,0,0,2011
6042228,201101,410060,87750000,Privada,1,39,0,0,2011
6448097,201101,410060,87750000,Privada,0,39,0,0,2011
2783835,201101,410070,87580000,Outra,1,39,0,0,2011
6075304,201101,410080,86150000,Privada,1,39,0,0,2011
2585138,201101,410100,85640000,Privada,0,39,0,0,2011
3524094,201101,410100,85640000,Privada,1,36,1,0,2011
6187366,201101,410100,85640000,Privada,0,39,0,0,2011
6246877,201101,410105,85425000,Privada,1,39,0,0,2011
2577402,201101,410110,86380000,Privada,0,39,0,0,2011
2582090,201101,410110,86380000,Privada,0,39,0,0,2011
2582201,201101,410110,86380000,Privada,0,39,0,0,2011
2582309,201101,410110,86380000,Privada,0,39,0,0,2011
2582678,201101,410110,86380000,Privada,1,39,0,0,2011
3325997,201101,410110,86380000,Publica,1,36,1,0,2011
3327256,201101,410110,86380000,Privada,0,39,0,0,2011
2681226,201101,410120,83370000,Privada,0,39,0,0,2011
2537044,201101,410130,83980000,Publica,1,01,1,0,2011
3802035,201101,410130,83980000,Publica,1,36,1,0,2011
2416700,201101,410140,86800200,Publica,1,69,1,0,2011
2439174,201101,410140,86800040,Privada,1,39,0,0,2011
2439263,201101,410140,86800120,Publica,1,05,1,0,2011
2439360,201101,410140,86800120,Publica,1,05,1,0,2011
2439379,201101,410140,86800040,Privada,1,39,0,0,2011
2439395,201101,410140,86800040,Privada,1,39,0,0,2011
2439409,201101,410140,86800040,Privada,1,39,0,0,2011
2439425,201101,410140,86800140,Privada,1,39,0,0,2011
2439476,201101,410140,86800010,Privada,1,39,0,0,2011
2439484,201101,410140,86800030,Privada,1,39,0,0,2011
2439492,201101,410140,86800140,Publica,1,04,1,0,2011
2439506,201101,410140,86800260,Publica,1,02,1,0,2011
2439670,201101,410140,86800260,Publica,1,39,0,0,2011
2584174,201101,410140,86800040,Privada,1,39,0,0,2011
2619520,201101,410140,86800030,Publica,1,36,0,1,2011
2619547,201101,410140,86800120,Privada,1,39,0,0,2011
3088197,201101,410140,86800660,Publica,1,02,0,1,2011
3155986,201101,410140,86800140,Privada,1,39,0,0,2011
3176037,201101,410140,86800040,Privada,0,22,1,0,2011
3317927,201101,410140,86812600,Publica,1,04,1,0,2011
3596737,201101,410140,86800040,Privada,0,39,0,0,2011
3631176,201101,410140,86800040,Privada,0,39,0,0,2011
5055237,201101,410140,86811500,Privada,1,39,0,0,2011
5071577,201101,410140,86800170,Publica,1,70,1,0,2011
5343100,201101,410140,86807340,Publica,1,02,0,1,2011
5416930,201101,410140,86800720,Publica,1,02,1,0,2011
5595703,201101,410140,86800140,Privada,0,39,0,0,2011
5655528,201101,410140,86800070,Publica,1,70,1,0,2011
5967910,201101,410140,86800120,Privada,1,39,0,0,2011
6004555,201101,410140,86800630,Publica,1,02,0,1,2011
6215394,201101,410140,86800120,Privada,1,36,0,1,2011
6234879,201101,410140,86807120,Privada,1,39,0,0,2011
6239935,201101,410140,86804200,Publica,1,02,1,0,2011
2573369,201101,410150,86700970,Publica,1,04,1,0,2011
2573598,201101,410150,86702000,Publica,1,02,1,0,2011
2575663,201101,410150,86701390,Privada,1,39,0,0,2011
2576031,201101,410150,86701390,Privada,1,39,0,0,2011
2576082,201101,410150,86705280,Privada,0,39,0,0,2011
2576104,201101,410150,86701200,Privada,1,39,0,0,2011
2576228,201101,410150,86701390,Privada,1,39,0,0,2011
